NO,Order ID,SLS Tracking Number,Shopee Order SN,Sort Code Name,SOC Received time,OnHoldReason,Status,Order Account,Original ASF,Rounding ASF,Payment Method,Pickup Station,Destination Station,Next Station,Current Station,Channel
603,SPXID034422853129,ID230314179425I,230917J6U67SBR,KRAGAN,2023-09-19 23:18:48,Normal,SOC_LHTransporting,Economy Marketplace Delivery,22300,22300,NON-COD,Legok First Mile Hub,Sedan Hub,Semarang DC,Jakarta DC,spx
604,SPXID034458753619,ID236329243171R,230917JN9Q7U31,PEGANDON,2023-09-19 23:23:48,Normal,SOC_LHTransporting,Economy Marketplace Delivery,18300,18300,COD,Legok First Mile Hub,Kendal Hub,Semarang DC,Jakarta DC,spx
605,SPXID034057609099,ID233647038377S,230916GPN2BDNT,TUREN,2023-09-19 16:41:32,Normal,SOC_LHTransporting,Economy Marketplace Delivery,59400,59400,NON-COD,Kudus First Mile Hub,Gondanglegi Hub,Surabaya DC,Semarang DC,spx
606,SPXID036633699249,ID2341790997813,230917JMSWSAD5,SEMARANG UTARA,2023-09-18 21:19:40,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Semarang Tengah Hub,Semarang Tengah Hub,Semarang DC,spx
607,SPXID031967830209,ID235630549405O,230917JWXHXEVC,MEJOBO,2023-09-18 23:55:19,Normal,SOC_LHTransporting,SPX Standard Marketplace,23400,23400,COD,Kebon Jeruk First Mile Hub,Kudus Hub,Kudus Hub,Semarang DC,spx
608,SPXID031727249429,ID232704383134Y,230917JKU7HDD4,TEMBALANG,2023-09-18 22:36:36,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,NON-COD,Legok First Mile Hub,Tembalang Hub,Semarang DC,Jakarta DC,spx
609,SPXID039997702379,ID233508485532W,230917JKPFUAWU,TAWANGHARJO,2023-09-19 23:08:54,Normal,SOC_LHTransporting,Economy Marketplace Delivery,22300,22300,COD,Legok First Mile Hub,Purwodadi Hub,Semarang DC,Jakarta DC,spx
610,SPXID033475241579,ID235495167955O,230917JG1KJCYC,SIDOREJO,2023-09-18 21:24:16,Normal,SOC_Received,Economy Marketplace Delivery,18300,18300,COD,Legok First Mile Hub,Salatiga Hub,Salatiga Hub,Semarang DC,spx
611,SPXID035462463409,ID2327321507272,230917JKFPDWRC,BANDUNGAN,2023-09-18 22:38:07,Normal,SOC_Received,Economy Marketplace Delivery,16200,16200,COD,Legok First Mile Hub,Ambarawa Hub,Ambarawa Hub,Semarang DC,spx
612,SPXID035706365839,ID239501471837U,230917JJXF6RRA,SUKOLILO,2023-09-18 21:25:55,Normal,SOC_Received,Economy Marketplace Delivery,22300,22300,NON-COD,Legok First Mile Hub,Kayen Hub,Kayen Hub,Semarang DC,spx
613,SPXID030344969959,ID238354425406O,230917JJJ3EF2K,BOJA,2023-09-19 00:13:21,Normal,SOC_Received,Economy Marketplace Delivery,18300,18300,COD,Legok First Mile Hub,Boja Hub,Boja Hub,Semarang DC,spx
614,SPXID037440788659,ID235773528988P,230918KD6S1RSU,DEMAK,2023-09-19 04:00:52,Normal,SOC_LHPacking,SPX Standard Marketplace,21300,21300,NON-COD,Pluit First Mile Hub,Demak Hub,Demak Hub,Semarang DC,spx
615,SPXID036047850249,ID235143299036X,230917KAPEUWHV,TEMBALANG,2023-09-19 13:11:46,Normal,SOC_Packed,Economy Marketplace Delivery,14700,14700,NON-COD,Kalideres First Mile Hub,Tembalang Hub,Semarang DC,Jakarta DC,spx
616,SPXID030583911009,ID2354260144552,230917JJ87S122,PATI,2023-09-18 22:34:41,Normal,SOC_Packed,Economy Marketplace Delivery,22300,22300,COD,Legok First Mile Hub,Pati Hub,Pati Hub,Semarang DC,spx
617,SPXID032750085519,ID2345681640774,230917JJ276AQ2,MIJEN,2023-09-18 23:05:51,Normal,SOC_LHPacking,Economy Marketplace Delivery,22300,22300,NON-COD,Legok First Mile Hub,Demak Hub,Demak Hub,Semarang DC,spx
618,SPXID035630061219,ID2345891589172,230917JHP20HEH,PEDURUNGAN,2023-09-19 23:51:18,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Pedurungan Hub,Semarang DC,Jakarta DC,spx
619,SPXID035142567309,ID237526403297Q,230917JHBCKCC5,SLUKE,2023-09-18 21:18:09,Normal,SOC_Received,Economy Marketplace Delivery,22300,22300,COD,Legok First Mile Hub,Rembang Hub,Rembang Hub,Semarang DC,spx
620,SPXID030703494999,ID238826210611C,230917JH3X6PUD,TEMBALANG,2023-09-19 23:16:53,Normal,SOC_LHTransporting,Economy Marketplace Delivery,14700,14700,NON-COD,Legok First Mile Hub,Tembalang Hub,Semarang DC,Jakarta DC,spx
621,SPXID037239700839,ID2379097611634,230917JGT4EY09,GAJAH MUNGKUR,2023-09-18 21:12:48,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Semarang Hub,Semarang Hub,Semarang DC,spx
622,SPXID036033750029,ID2325230755171,230917JG3JG91F,PEDURUNGAN,2023-09-19 23:40:11,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,NON-COD,Legok First Mile Hub,Pedurungan Hub,Semarang DC,Jakarta DC,spx
623,SPXID035093423579,ID2379781550954,230917JGBE9PJV,GEMAWANG,2023-09-18 22:49:00,Normal,SOC_Received,Economy Marketplace Delivery,24400,24400,COD,Legok First Mile Hub,Ngadirejo Hub,Ngadirejo Hub,Semarang DC,spx
624,SPXID032023409059,ID231111440798X,230917JF8WXV5J,MRANGGEN,2023-09-18 22:43:02,Normal,SOC_LHPacking,Economy Marketplace Delivery,22300,22300,COD,Legok First Mile Hub,Pedurungan Hub,Pedurungan Hub,Semarang DC,spx
625,SPXID039015052559,ID235310521150R,230917JER51UAY,SEMARANG BARAT,2023-09-19 23:22:53,Normal,SOC_LHTransporting,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Semarang Hub,Semarang DC,Jakarta DC,spx
626,SPXID030053262749,ID2381179244223,230918KCBCJQP0,SURUH,2023-09-19 00:44:04,Normal,SOC_Packed,Economy Marketplace Delivery,16200,16200,COD,Teluknaga First Mile Hub,Salatiga Hub,Salatiga Hub,Semarang DC,spx
627,SPXID038193488459,ID237441091530V,230917JEMXXAB4,UNGARAN TIMUR,2023-09-18 22:44:01,Normal,SOC_Packed,Economy Marketplace Delivery,16200,16200,COD,Legok First Mile Hub,Ungaran Hub,Ungaran Hub,Semarang DC,spx
628,SPXID035163656989,ID231130136754X,230917JE5KU13A,KUDUS KOTA,2023-09-18 23:15:17,Normal,SOC_Packed,Economy Marketplace Delivery,22300,22300,NON-COD,Legok First Mile Hub,Kudus Hub,Kudus Hub,Semarang DC,spx
629,SPXID036967566889,ID239724721623X,230917KA9SJMYJ,TRANGKIL,2023-09-19 10:44:33,Normal,SOC_Packed,Economy Marketplace Delivery,22300,22300,COD,Kalideres First Mile Hub,Pati Hub,Pati Hub,Semarang DC,spx
630,SPXID036211448789,ID2337737944691,230918KD0SAB0G,DONOROJO,2023-09-19 03:16:00,Normal,SOC_Packed,Economy Marketplace Delivery,22300,22300,COD,Teluknaga First Mile Hub,Bangsri Hub,Jepara Hub,Semarang DC,spx
631,SPXID030069889859,ID233589762473W,230917JDC2GNKE,PURWODADI,2023-09-19 18:38:39,Normal,SOC_Packed,Economy Marketplace Delivery,22300,22300,NON-COD,Legok First Mile Hub,Purwodadi Hub,Semarang DC,Jakarta DC,spx
632,SPXID039125586309,ID2313106139826,230917JDC97S2H,PEDURUNGAN,2023-09-19 23:03:11,Normal,SOC_LHTransporting,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Pedurungan Hub,Semarang DC,Jakarta DC,spx
633,SPXID034203424099,ID237755812751M,230917JV3XYQ9Q,PRINGAPUS,2023-09-19 00:18:33,Normal,SOC_Received,Economy Marketplace Delivery,16200,16200,COD,Ciampea First Mile Hub,Ungaran Hub,Ungaran Hub,Semarang DC,spx
634,SPXID034258396249,ID233835048983I,230917JCVHP0GD,SEMARANG BARAT,2023-09-18 22:49:45,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Semarang Hub,Semarang Hub,Semarang DC,spx
635,SPXID035048505239,ID239668904051B,230917JBT53ASA,SEMARANG TENGAH,2023-09-19 23:02:46,Normal,SOC_LHTransporting,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Semarang Tengah Hub,Semarang DC,Jakarta DC,spx
636,SPXID036609642659,ID231805335499W,230917JBYJNTSQ,AMBARAWA,2023-09-18 23:06:03,Normal,SOC_Received,Economy Marketplace Delivery,16200,16200,NON-COD,Legok First Mile Hub,Ambarawa Hub,Ambarawa Hub,Semarang DC,spx
637,SPXID037057665139,ID2372552103492,230917JBR39AD8,KENDAL,2023-09-18 23:01:26,Normal,SOC_Packed,Economy Marketplace Delivery,18300,18300,NON-COD,Legok First Mile Hub,Kendal Hub,Kendal Hub,Semarang DC,spx
638,SPXID032048382589,ID2312877232973,230917JBAFFA1K,GUNUNGPATI,2023-09-19 23:52:05,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,NON-COD,Legok First Mile Hub,Gunungpati Hub,Semarang DC,Jakarta DC,spx
639,SPXID033632097469,ID235085996457W,230917JBDMHFWR,PEDURUNGAN,2023-09-18 23:14:28,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Pedurungan Hub,Pedurungan Hub,Semarang DC,spx
640,SPXID037275202279,ID234600932195Y,230917JBAFEWRW,KLEDUNG,2023-09-18 21:19:25,Normal,SOC_Received,Economy Marketplace Delivery,24400,24400,COD,Legok First Mile Hub,Ngadirejo Hub,Ngadirejo Hub,Semarang DC,spx
641,SPXID033461577099,ID230156435803C,230918KDCXF2VN,UNDAAN,2023-09-18 19:47:57,Normal,SOC_Packed,SPX Standard Marketplace,22400,22400,COD,Ciampea First Mile Hub,Kudus Hub,Semarang DC,Jakarta DC,spx
642,SPXID030360146859,ID2359218038666,230917JAU0GEH1,TEMBALANG,2023-09-18 22:33:20,Normal,SOC_LHPacking,Economy Marketplace Delivery,14700,14700,NON-COD,Legok First Mile Hub,Tembalang Hub,Tembalang Hub,Semarang DC,spx
643,SPXID031357856979,ID2350544698902,230917JAV1XMM9,SEMARANG BARAT,2023-09-18 22:36:07,Normal,SOC_LHPacking,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Semarang Hub,Semarang Hub,Semarang DC,spx
644,SPXID033626284119,ID2367597364865,230917K707MP8F,BLORA KOTA,2023-09-18 21:07:15,Normal,SOC_Packed,Economy Marketplace Delivery,20300,20300,NON-COD,Bandung Timur First Mile Hub,Blora Hub,Blora Hub,Semarang DC,spx
645,SPXID039898914259,ID2356270443074,230917JB3USUPG,TINGKIR,2023-09-18 21:23:42,Normal,SOC_Received,Economy Marketplace Delivery,18300,18300,NON-COD,Legok First Mile Hub,Salatiga Hub,Salatiga Hub,Semarang DC,spx
646,SPXID031841069129,ID2396724473935,230917JAKDARD3,KARANGAWEN,2023-09-18 22:40:29,Normal,SOC_LHTransported,Economy Marketplace Delivery,22300,22300,COD,Legok First Mile Hub,Guntur Hub,Semarang DC,Jakarta DC,spx
647,SPXID031911082199,ID2368940489139,230917JARANMHD,MIJEN,2023-09-18 23:04:51,Normal,SOC_LHPacking,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Ngaliyan Hub,Ngaliyan Hub,Semarang DC,spx
648,SPXID035445153269,ID2300463340410,230918KCYRWNQN,SIDOREJO,2023-09-19 02:22:48,Normal,SOC_Packed,Economy Marketplace Delivery,18300,18300,NON-COD,Teluknaga First Mile Hub,Salatiga Hub,Salatiga Hub,Semarang DC,spx
649,SPXID037330713589,ID237274714665V,230917JA0T70HD,NGALIYAN,2023-09-18 21:31:39,Normal,SOC_Packed,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Ngaliyan Hub,Ngaliyan Hub,Semarang DC,spx
650,SPXID035712686839,ID239367672713C,230917J9YAK1W9,SEMARANG TENGAH,2023-09-19 18:59:46,Normal,SOC_Packed,Economy Marketplace Delivery,14700,14700,NON-COD,Legok First Mile Hub,Semarang Tengah Hub,Semarang DC,Jakarta DC,spx
651,SPXID031609990029,ID2359105262481,230917J96QTP3Q,BANYUBIRU,2023-09-18 23:07:04,Normal,SOC_Packed,Economy Marketplace Delivery,16200,16200,COD,Legok First Mile Hub,Ambarawa Hub,Ambarawa Hub,Semarang DC,spx
652,SPXID034298175069,ID2348317729703,230917J982PYU3,MIJEN,2023-09-18 22:51:04,Normal,SOC_LHTransported,Economy Marketplace Delivery,14700,14700,NON-COD,Legok First Mile Hub,Ngaliyan Hub,Semarang DC,Jakarta DC,spx
653,SPXID035905688529,ID236806181256U,230917J8S6TPYS,PAKIS AJI,2023-09-18 21:18:04,Normal,SOC_Packed,Economy Marketplace Delivery,22300,22300,COD,Legok First Mile Hub,Jepara Hub,Jepara Hub,Semarang DC,spx
654,SPXID038906127909,ID2304352194500,230917J8Y2QKBV,KALIWUNGU,2023-09-19 23:30:52,Normal,SOC_Received,Economy Marketplace Delivery,18300,18300,NON-COD,Legok First Mile Hub,Kaliwungu Hub,Semarang DC,Jakarta DC,spx
655,SPXID030603883179,ID235968055264V,230917J7PA2UR8,TANGGUNGHARJO,2023-09-18 22:31:50,Normal,SOC_Received,Economy Marketplace Delivery,22300,22300,COD,Legok First Mile Hub,Gubug Hub,Purwodadi Hub,Semarang DC,spx
656,SPXID032230496939,ID239114739177B,230917J7DGQRS6,GODONG,2023-09-18 21:30:59,Normal,SOC_Received,Economy Marketplace Delivery,22300,22300,COD,Legok First Mile Hub,Gubug Hub,Purwodadi Hub,Semarang DC,spx
657,SPXID030662188489,ID234813927960I,230916FXV8XMPF,BOJA,2023-09-18 16:39:26,Normal,SOC_LHTransported,Economy Marketplace Delivery,20300,20300,COD,Soreang First Mile Hub,Boja Hub,Boja Hub,Semarang DC,spx
658,SPXID032367273719,ID235507405727Z,230917J6GFVJ88,SEMARANG TENGAH,2023-09-19 23:12:28,Normal,SOC_LHTransporting,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Semarang Tengah Hub,Semarang DC,Jakarta DC,spx
659,SPXID036522339429,ID2355397850294,230917GXFQPHXH,WEDUNG,2023-09-18 21:02:07,Normal,SOC_Received,SPX Standard Marketplace,21300,21300,COD,Sawah Besar First Mile Hub,Demak Hub,Demak Hub,Semarang DC,spx
660,SPXID039402497199,ID2341952938146,230917J6417J9A,GUNUNGPATI,2023-09-18 22:42:38,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,NON-COD,Legok First Mile Hub,Gunungpati Hub,Gunungpati Hub,Semarang DC,spx
661,SPXID032738774819,ID233808332812B,230918KCGQA56J,UNGARAN BARAT,2023-09-19 23:19:28,Normal,SOC_LHTransporting,SPX Standard Marketplace,13200,13200,COD,Wonoayu First Mile Hub,Ungaran Hub,Semarang DC,Surabaya DC,spx
662,SPXID030862391579,ID235957953499V,230917J27GR13Y,SUKOREJO,2023-09-18 21:50:32,Normal,SOC_LHTransporting,Economy Marketplace Delivery,18300,18300,NON-COD,Kosambi First Mile Hub,Sukorejo Kendal Hub,Sukorejo Kendal Hub,Semarang DC,spx
663,SPXID034206761999,ID2300776953838,230917K6FPBG4C,SUKOREJO,2023-09-18 19:51:46,Normal,SOC_LHTransported,Economy Marketplace Delivery,18300,18300,COD,Tanjung Priok First Mile Hub,Sukorejo Kendal Hub,Semarang DC,Jakarta DC,spx
664,SPXID036174829519,ID236880321456C,230917JHECYU76,JEKULO,2023-09-18 14:52:50,Normal,SOC_LHPacking,Marketplace Collection,12000,12000,NON-COD,Kosambi First Mile Hub,Kudus Hub,Kudus Hub,Semarang DC,spx
665,SPXID036927201789,ID2314025982569,230918KCBSXQES,TEMBALANG,2023-09-18 23:59:56,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,COD,Pluit First Mile Hub,Tembalang Hub,Tembalang Hub,Semarang DC,spx
666,SPXID037621352009,ID2340082328344,230918KCMTXV99,PLANTUNGAN,2023-09-19 00:12:43,Normal,SOC_Packed,Economy Marketplace Delivery,18300,18300,COD,Pluit First Mile Hub,Sukorejo Kendal Hub,Sukorejo Kendal Hub,Semarang DC,spx
667,SPXID034768059029,ID232389677007K,230917KATBUEW8,KANGKUNG,2023-09-18 20:31:38,Normal,SOC_LHTransporting,Economy Marketplace Delivery,18300,18300,COD,Cengkareng Barat First Mile Hub,Kendal Hub,Kendal Hub,Semarang DC,spx
668,SPXID038644330299,ID2389958681935,230917J569EKMS,SIDOREJO,2023-09-19 23:18:05,Normal,SOC_LHTransporting,Economy Marketplace Delivery,18300,18300,NON-COD,Legok First Mile Hub,Salatiga Hub,Semarang DC,Jakarta DC,spx
669,SPXID039972934539,ID233804359815A,230917K0HTH59M,MLONGGO,2023-09-19 19:38:13,Normal,SOC_LHTransporting,SPX Standard Marketplace,23400,23400,COD,Tanjung Priok First Mile Hub,Jepara Hub,Semarang DC,Jakarta DC,spx
670,SPXID030114394909,ID233568006338G,230917J474UE4Y,GAYAMSARI,2023-09-18 23:04:35,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Semarang Timur Hub,Semarang Timur Hub,Semarang DC,spx
671,SPXID038747647409,ID238071790088B,230918KBWPW4UQ,GAJAH MUNGKUR,2023-09-18 21:38:11,Normal,SOC_Packed,Economy Marketplace Delivery,29400,29400,NON-COD,Cikarang Utara First Mile Hub,Semarang Hub,Semarang Hub,Semarang DC,spx
672,SPXID031689750769,ID231238423358X,230916GEA2CHTT,GAJAH MUNGKUR,2023-09-19 00:07:53,Normal,SOC_Received,Economy Marketplace Delivery,14700,14700,NON-COD,Tigaraksa First Mile Hub,Semarang Hub,Semarang Hub,Semarang DC,spx
673,SPXID034463520489,ID237835333444D,230918KCEB1M1H,SEMARANG SELATAN,2023-09-18 22:50:05,Normal,SOC_Packed,Economy Marketplace Delivery,14700,14700,NON-COD,Koja First Mile Hub,Semarang Timur Hub,Semarang Timur Hub,Semarang DC,spx
674,SPXID035837194779,ID232615360676J,230917J3GE5JC4,PEDURUNGAN,2023-09-18 22:41:10,Normal,SOC_Packed,Economy Marketplace Delivery,14700,14700,COD,Legok First Mile Hub,Pedurungan Hub,Pedurungan Hub,Semarang DC,spx
675,SPXID031532598239,ID232256319022T,230917K42RY92F,TAYU,2023-09-18 22:38:56,Normal,SOC_LHTransported,Marketplace Collection,12500,12500,NON-COD,Senen First Mile Hub,Tayu Hub,Tayu Hub,Semarang DC,spx
676,SPXID034042210459,ID232896577832N,230917K4V3J6KD,REBAN,2023-09-18 16:33:24,Normal,SOC_LHTransported,Marketplace Collection,25000,25000,NON-COD,Senen First Mile Hub,Bandar Hub,Semarang DC,Jakarta DC,spx
677,SPXID039274133739,ID238675083514P,230917J2N1RNU6,SUMBER,2023-09-18 23:17:01,Normal,SOC_Received,Economy Marketplace Delivery,22300,22300,COD,Legok First Mile Hub,Rembang Hub,Rembang Hub,Semarang DC,spx
678,SPXID030583794409,ID237318557161N,230917J26ED2EB,KUDUS KOTA,2023-09-19 18:34:23,Normal,SOC_Packed,Economy Marketplace Delivery,22300,22300,NON-COD,Legok First Mile Hub,Kudus Hub,Semarang DC,Jakarta DC,spx
679,SPXID038504834059,ID235481027820X,230917J263Y8GJ,BRINGIN,2023-09-18 23:01:19,Normal,SOC_Received,Economy Marketplace Delivery,16200,16200,COD,Legok First Mile Hub,Tuntang Hub,Tuntang Hub,Semarang DC,spx
680,SPXID039662185359,ID236720979110Q,230916GH9WBJE2,GODONG,2023-09-18 22:53:43,Normal,SOC_Packed,Economy Marketplace Delivery,22300,22300,COD,Bekasi Utara First Mile Hub,Gubug Hub,Purwodadi Hub,Semarang DC,spx
681,SPXID038619865229,ID232126552084M,230916G1RYT4FE,GRINGSING,2023-09-19 21:06:28,Normal,SOC_LHTransporting,SPX Standard Marketplace,25400,25400,COD,Tambun Selatan First Mile Hub,Banyuputih Hub,Semarang DC,Jakarta DC,spx
682,SPXID036856030739,ID237968302917P,230917HYF541KX,CANDISARI,2023-09-18 22:34:24,Normal,SOC_LHPacking,Economy Marketplace Delivery,14700,14700,NON-COD,Legok First Mile Hub,Banyumanik Hub,Banyumanik Hub,Semarang DC,spx
683,SPXID037383876149,ID238975616995Y,230917J1RYDDS5,NGALIYAN,2023-09-18 21:24:17,Normal,SOC_Packed,Economy Marketplace Delivery,14700,14700,NON-COD,Legok First Mile Hub,Ngaliyan Hub,Ngaliyan Hub,Semarang DC,spx
684,SPXID030467805409,ID230461853299L,230917J1CW4RNN,MAYONG,2023-09-18 21:25:17,Normal,SOC_Received,Economy Marketplace Delivery,22300,22300,NON-COD,Legok First Mile Hub,Mayong Hub,Mayong Hub,Semarang DC,spx
685,SPXID031702266859,ID232185382584Y,230917KAH6YRV7,DEMAK,2023-09-20 06:55:05,Normal,SOC_LHPacking,SPX Standard Marketplace,21300,21300,COD,Pademangan First Mile Hub,Demak Hub,Semarang DC,Jakarta DC,spx
686,SPXID034668023939,ID231775751846O,230917J1BH9RPW,SIDOREJO,2023-09-18 21:31:38,Normal,SOC_Received,Economy Marketplace Delivery,18300,18300,NON-COD,Legok First Mile Hub,Salatiga Hub,Salatiga Hub,Semarang DC,spx
